year,title,actors,description
1954,On the Waterfront,Marlon Brando|Eva Marie Saint,Dock worker fights corrupt union bosses in New Jersey
1955,Marty,Ernest Borgnine|Betsy Blair,Lonely Bronx butcher finds unexpected love one Saturday night
1956,Around the World in 80 Days,David Niven|Cantinflas,Victorian eccentric wagers he can circumnavigate the globe against the clock
1957,The Bridge on the River Kwai,William Holden|Alec Guinness,British POWs are forced to construct a railway crossing for their Japanese captors
1958,Gigi,Louis Jourdan|Leslie Caron|Maurice Chevalier,Parisian girl groomed as a courtesan falls for a wealthy playboy
1959,Ben-Hur,Charlton Heston|Jack Hawkins,Jewish prince seeks revenge after betrayal by a Roman friend
1960,The Apartment,Jack Lemmon|Shirley MacLaine|Fred MacMurray,Office drone loans his home to executives conducting extramarital affairs
1961,West Side Story,Natalie Wood|Richard Beymer,Romeo and Juliet retold through rival gangs in New York City
1962,Lawrence of Arabia,Peter O'Toole|Omar Sharif,British officer unites Arab tribes against the Ottoman Empire
1963,Tom Jones,Albert Finney|Susannah York,Bawdy adventures of a charming English foundling in 18th century
1964,My Fair Lady,Rex Harrison|Audrey Hepburn,Linguistics professor bets he can transform a Cockney flower girl into a socialite
1965,The Sound of Music,Julie Andrews|Christopher Plummer,A singing governess transforms a stern Austrian captain's rigid household
1966,A Man for All Seasons,Paul Scofield|Wendy Hiller,Sir Thomas More refuses to sanction Henry VIII's divorce
1967,In the Heat of the Night,Sidney Poitier|Rod Steiger,Black detective reluctantly helps a racist Southern sheriff
1968,Oliver!,Ron Moody|Mark Lester|Oliver Reed,Orphan boy falls in with pickpockets in Victorian London
1969,Midnight Cowboy,Dustin Hoffman|Jon Voight,Texas drifter and a petty con man survive on New York streets
1970,Patton,George C. Scott|Karl Malden,Brilliant but controversial WWII general leads troops across Europe
1971,The French Connection,Gene Hackman|Roy Scheider,New York cop pursues a massive heroin smuggling operation
1972,The Godfather,Marlon Brando|Al Pacino|James Caan,Aging crime patriarch passes power to his youngest reluctant son
1973,The Sting,Paul Newman|Robert Redford,Two con men team up to swindle a dangerous crime boss
1974,The Godfather Part II,Al Pacino|Robert De Niro|Diane Keaton,Crime family's past and present unfold in parallel stories
1975,One Flew Over the Cuckoo's Nest,Jack Nicholson|Louise Fletcher,Free-spirited rebel challenges a tyrannical psychiatric ward nurse
1976,Rocky,Sylvester Stallone|Talia Shire,Small-time boxer gets a shot at the world heavyweight champion
1977,Annie Hall,Woody Allen|Diane Keaton,Neurotic New York comedian deconstructs a doomed romance in retrospect
1978,The Deer Hunter,Robert De Niro|Meryl Streep|Christopher Walken,Pennsylvania steelworkers devastated by their Vietnam War experience
1979,Kramer vs. Kramer,Dustin Hoffman|Meryl Streep,Abandoned father bonds with son then faces custody battle
1980,Ordinary People,Donald Sutherland|Mary Tyler Moore|Timothy Hutton,Suburban family fractures after a tragic accidental death
1981,Chariots of Fire,Ben Cross|Ian Charleson,Two British athletes pursue Olympic glory for different reasons
1982,Gandhi,Ben Kingsley|Candice Bergen,Nonviolent resistance leader ends British rule in India
1983,Terms of Endearment,Shirley MacLaine|Jack Nicholson|Debra Winger,Mother and daughter navigate love loss and illness together
1984,Amadeus,F. Murray Abraham|Tom Hulce,Jealous court composer plots against the brilliant Mozart
1985,Out of Africa,Meryl Streep|Robert Redford,Danish baroness builds a farm and finds love in Kenya
1986,Platoon,Tom Berenger|Willem Dafoe|Charlie Sheen,Young soldier torn between two sergeants in Vietnam
1987,The Last Emperor,John Lone|Peter O'Toole,Final emperor of China recounts his life from palace to prison
1988,Rain Man,Dustin Hoffman|Tom Cruise,Selfish car dealer discovers his autistic savant brother
1989,Driving Miss Daisy,Morgan Freeman|Jessica Tandy,Unlikely friendship between an elderly Jewish woman and her driver
1990,Dances with Wolves,Kevin Costner|Mary McDonnell,Union soldier befriends a Sioux tribe on the frontier
1991,The Silence of the Lambs,Jodie Foster|Anthony Hopkins,FBI trainee seeks a serial killer's help to catch another
1992,Unforgiven,Clint Eastwood|Gene Hackman|Morgan Freeman,Retired outlaw takes one last bounty job in a violent Wyoming town
1993,Schindler's List,Liam Neeson|Ralph Fiennes|Ben Kingsley,Nazi businessman saves over a thousand Jewish workers from death
1994,Forrest Gump,Tom Hanks|Robin Wright,Simple man witnesses major American historical events by chance
1995,Braveheart,Mel Gibson|Sophie Marceau,Scottish warrior leads a rebellion against English oppression
1996,The English Patient,Ralph Fiennes|Juliette Binoche,Dying man's wartime romance recalled in a Tuscan monastery
1997,Titanic,Leonardo DiCaprio|Kate Winslet,Poor artist and rich girl fall in love on the doomed ocean liner
1998,Shakespeare in Love,Gwyneth Paltrow|Joseph Fiennes,Elizabethan playwright finds his muse while staging a tragic new play
1999,American Beauty,Kevin Spacey|Annette Bening|Mena Suvari,Suburban father's midlife crisis unravels his picture-perfect family
2000,Gladiator,Russell Crowe|Joaquin Phoenix,Betrayed Roman general is enslaved and fights his way back to exact revenge
2001,A Beautiful Mind,Russell Crowe|Jennifer Connelly,Math genius battles schizophrenia while working on Cold War cryptography
2002,Chicago,Renée Zellweger|Catherine Zeta-Jones|Richard Gere,Jazz Age murderesses use fame and showmanship to beat murder charges
2003,The Lord of the Rings: The Return of the King,Elijah Wood|Ian McKellen|Viggo Mortensen,Fellowship completes the quest to destroy the One Ring
2004,Million Dollar Baby,Clint Eastwood|Hilary Swank|Morgan Freeman,Tough trainer reluctantly mentors a determined female boxer
2005,Crash,Sandra Bullock|Don Cheadle|Matt Dillon,Interconnected strangers collide in racially charged Los Angeles
2006,The Departed,Leonardo DiCaprio|Matt Damon|Jack Nicholson,Cops and criminals each plant a mole in the other's organization
2007,No Country for Old Men,Tommy Lee Jones|Javier Bardem|Josh Brolin,Hunter stumbles onto drug money and is pursued by a relentless killer
2008,Slumdog Millionaire,Dev Patel|Freida Pinto,Mumbai street kid wins a game show and recalls his harrowing past
2009,The Hurt Locker,Jeremy Renner|Anthony Mackie,Reckless bomb disposal specialist thrives on danger in Iraq
2010,The King's Speech,Colin Firth|Geoffrey Rush|Helena Bonham Carter,British monarch overcomes a debilitating stammer with an eccentric Australian therapist
2011,The Artist,Jean Dujardin|Bérénice Bejo,Silent film star struggles as talkies arrive and a new actress rises
2012,Argo,Ben Affleck|Bryan Cranston,CIA operative uses a fake sci-fi film to rescue hostages from Iran
2013,12 Years a Slave,Chiwetel Ejiofor|Michael Fassbender|Lupita Nyong'o,Free Black man kidnapped and sold into slavery in the antebellum South
2014,Birdman,Michael Keaton|Edward Norton|Emma Stone,Faded superhero actor mounts a Broadway comeback amid delusions
2015,Spotlight,Michael Keaton|Mark Ruffalo|Rachel McAdams,Boston Globe reporters expose systematic Catholic Church abuse cover-up
2016,Moonlight,Trevante Rhodes|Mahershala Ali,Young Black man's identity and sexuality evolve across three life chapters
2017,The Shape of Water,Sally Hawkins|Michael Shannon|Doug Jones,Mute janitor falls in love with a captured aquatic creature
2018,Green Book,Viggo Mortensen|Mahershala Ali,White bouncer drives a Black pianist on a tour through the Deep South
2019,Parasite,Song Kang-ho|Cho Yeo-jeong|Choi Woo-shik,Impoverished Korean family infiltrates a wealthy household
2020,Nomadland,Frances McDormand|David Strathairn,Widowed woman roams the American West working seasonal jobs from her van
2021,CODA,Emilia Jones|Troy Kotsur|Marlee Matlin,Hearing daughter of deaf parents pursues music over family fishing
2022,Everything Everywhere All at Once,Michelle Yeoh|Ke Huy Quan|Jamie Lee Curtis,Laundromat owner discovers she must save the multiverse
2023,Oppenheimer,Cillian Murphy|Emily Blunt|Robert Downey Jr.,Physicist leads Manhattan Project then faces a security hearing
2024,Anora,Mikey Madison|Yura Borisov,New York sex worker marries a Russian oligarch's son impulsively
2025,The Brutalist,Adrien Brody|Felicity Jones,Hungarian Jewish architect rebuilds his life in postwar America
2026,Conclave,Ralph Fiennes|Stanley Tucci,Catholic cardinals sequester in the Vatican to choose a new pope amid scandal
